Sample	BuiltEnv
55	0
63	0
889	0
937	0
1146	0
1815	0
2262	0
3201	0
3751	0
7108	0
9325	0
9556	0
9777	0
19-01	0
19-02	0
19-03	0
19-04	0
19-05	0
19-06	0
19-07	0
19-08	0
19-09	0
19-10	0
19-11	0
19-12	0
19-13	0
19-14	0
19-15	0
19-16	0
19-17	0
19-18	0
19-19	0
19-20	0
19-21	0
19-23	0
19-24	0
19-25	0
19-26	0
19-28	0
19-29	0
19-32	0
19-33	0
19-35	0
19-36	0
19-38	0
19-40	0
19-42	0
1A	0
20-01	0
20-02	1
20-03	0
20-04	0
20-05	0
20-06	0
20-07	0
22-01	0
22-02	0
22-03	0
22-04	0
22-05	0
22-06	0
22-08	0
396A	0
429A	0
725A_RS6	0
735A	0
758_SSAP	0
AC34	0
AG1	0
ATCC15305	0
B2	0
BC4	0
BWH3	0
C006	0
C007	0
C008	0
C011	0
C012	0
C013	0
C014	0
C015	0
C016	0
C017	0
C018	0
C019	0
C020	0
C021	0
C022	0
C023	0
C024	0
C025	0
C026	0
C027	0
C028	0
C029	0
C030	0
C031	0
C032	0
C033	0
C034	0
C035	0
C037	0
C038	0
C039	0
C040	0
C041	0
C042	0
C043	0
C044	0
C045	0
C046	0
C047	0
C048	0
C050	0
C051	0
C052	0
C053	0
C054	0
C059	0
C064	0
C065	0
C066	0
C067	0
C068	0
C069	0
C070	0
C071	0
C072	0
C073	0
C074	0
C075	0
C076	0
C077	0
C078	0
C079	0
C080	0
C081	0
C083	0
C084	0
C085	0
C086	0
C087	0
C089	0
C092	0
C093	0
C097	0
C099	0
C101	0
C102	0
C103	0
C104	0
C105	0
C106	0
C107	0
C108	0
C109	0
C110	0
C111	0
C112	0
C113	0
C114	0
C115	0
C116	0
C118	0
C119	0
C120	0
C121	0
C122	0
C123	0
C124	0
C125	0
C127	0
C136	0
C201	0
C221-2	0
C229	0
CE6	0
Colony294	0
DE0121	1
DE0148	1
DE0151	1
DE0159	1
DE0270	1
DE0274	1
DE0294	1
DE0375	0
DE0561	1
DE0565	1
DE0567	1
DE0568	1
DE0569	1
DE0575	1
DE0594	1
DPC5671	0
ERR10431371	0
ERR10432294	0
ERR10432305	0
ERR10432413	0
ERR10432446	0
ERR10432572	0
ERR10437034	0
ERR10437731	0
ERR10438810	0
ERR10439023	0
ERR10439024	0
ERR10441444	0
ERR3219573	0
ERR3219813	0
ERR3219814	0
ERR3219906	0
ERR3219910	0
ERR3219911	0
ERR3219913	0
ERR3219914	0
ERR3219916	0
ERR3219921	0
ERR3219922	0
ERR3219923	0
ERR3219927	0
ERR3357297	0
ERR3357298	0
ERR3357301	0
ERR3357323	0
ERR3358313	0
ERR3383522	0
ERR3383523	0
ERR4013741	0
ERR4014870	0
ERR4014873	0
ERR4014875	0
ERR4014883	0
ERR4014983	0
ERR4015000	0
ERR4015080	0
ERR4015318	0
FXH-168	0
GDH8C90P	0
GDH8C97P	0
GDY8P136P	0
GDY8P168P	0
HAF121	0
JB027	0
JBCB14	0
KACC16562	0
LK489	0
NCTC7292	0
NCTC7526	0
NCTC7540	0
NCTC7666	0
NCTC7687	0
NCTC7688	0
NCTC7692	0
REF_Ss_troy_2014-0902	0
s43	1
SDC2	0
SDD2	0
SNUC1141	0
SNUC1435	0
SNUC1928	0
SNUC2042	0
SNUC2120	0
SNUC2373	0
SNUC2834	0
SNUC3102	0
SNUC3312	0
SNUC3824	0
SNUC4138	0
SNUC4826	0
SNUC5300	0
SNUC5359	0
SNUC5479	0
SNUC946	0
SRR10556786	1
SRR10583088	0
SRR10611087	0
SRR11004154	0
SRR11004155	0
SRR11004156	0
SRR11004157	0
SRR11004158	0
SRR11004159	0
SRR11004160	0
SRR11004161	0
SRR11004162	0
SRR11004164	0
SRR11004165	0
SRR11004166	0
SRR11004167	0
SRR11004168	0
SRR11004169	0
SRR11004170	0
SRR11004171	0
SRR11004172	0
SRR11004173	0
SRR11004174	0
SRR11004175	0
SRR11004176	0
SRR11004177	0
SRR11004178	0
SRR11004179	0
SRR11004180	0
SRR11004181	0
SRR11004182	0
SRR11004183	0
SRR11004184	0
SRR11004185	0
SRR11004186	0
SRR11004187	0
SRR11004188	0
SRR11004189	0
SRR11004190	0
SRR11004191	0
SRR11004192	0
SRR11004193	0
SRR11004194	0
SRR11004195	0
SRR11004196	0
SRR11004197	0
SRR11004198	0
SRR11004199	0
SRR11004200	0
SRR11004201	0
SRR11004202	0
SRR11004203	0
SRR11004204	0
SRR11004205	0
SRR11004206	0
SRR11004207	0
SRR11004208	0
SRR11004209	0
SRR11004210	0
SRR11004211	0
SRR11004212	0
SRR11004213	0
SRR11004214	0
SRR11004215	0
SRR11004216	0
SRR11004217	0
SRR11004218	0
SRR11004219	0
SRR11004220	0
SRR11004221	0
SRR11004222	0
SRR11004223	0
SRR11004224	0
SRR11004225	0
SRR11004226	0
SRR11004227	0
SRR11004228	0
SRR11004229	0
SRR11004230	0
SRR11004231	0
SRR11004232	0
SRR11004233	0
SRR11004234	0
SRR11004235	0
SRR11004236	0
SRR11004237	0
SRR11004238	0
SRR11004239	0
SRR11004240	0
SRR11004241	0
SRR11004243	0
SRR11004244	0
SRR11004245	0
SRR11004246	0
SRR11004247	0
SRR11004248	0
SRR11004249	0
SRR11004250	0
SRR11004251	0
SRR11004252	0
SRR11004253	0
SRR11004254	0
SRR11004255	0
SRR11004256	0
SRR11004257	0
SRR11004258	0
SRR11004259	0
SRR11004260	0
SRR11004261	0
SRR11004262	0
SRR11004263	0
SRR11004264	0
SRR11004265	0
SRR11004266	0
SRR11004267	0
SRR11004268	0
SRR11004269	0
SRR11004270	0
SRR11004271	0
SRR11004272	0
SRR11004273	0
SRR11004274	0
SRR11004275	0
SRR11004276	0
SRR11004277	0
SRR11004278	0
SRR11004279	0
SRR11004280	0
SRR11004281	0
SRR11004282	0
SRR11004283	0
SRR11004284	0
SRR11004285	0
SRR11004286	0
SRR11004287	0
SRR11004288	0
SRR11004289	0
SRR11004290	0
SRR11004291	0
SRR11004292	0
SRR11004293	0
SRR11004294	0
SRR11004295	0
SRR11004296	0
SRR11004297	0
SRR11004298	0
SRR11004299	0
SRR11004300	0
SRR11004301	0
SRR11004302	0
SRR11004303	0
SRR11004304	0
SRR11004305	0
SRR11004306	0
SRR11004307	0
SRR11004308	0
SRR11004309	0
SRR11004310	0
SRR11004311	0
SRR11004312	0
SRR11004313	0
SRR11004314	0
SRR11004315	0
SRR11004316	0
SRR11004317	0
SRR11004318	0
SRR11004319	0
SRR11004320	0
SRR11004321	0
SRR11004322	0
SRR11004323	0
SRR11004324	0
SRR11004325	0
SRR11004326	0
SRR11004327	0
SRR11004328	0
SRR11004329	0
SRR11004330	0
SRR11004331	0
SRR11004332	0
SRR11004333	0
SRR11004334	0
SRR11004335	0
SRR11004336	0
SRR11004337	0
SRR11004338	0
SRR11004339	0
SRR11004340	0
SRR11004341	0
SRR11004342	0
SRR11004343	0
SRR11004344	0
SRR11004346	0
SRR11004347	0
SRR11004348	0
SRR11004349	0
SRR11004350	0
SRR11004351	0
SRR11004352	0
SRR11004353	0
SRR11004354	0
SRR11004355	0
SRR11004356	0
SRR11004357	0
SRR11004358	0
SRR11004359	0
SRR11004360	0
SRR11004361	0
SRR11004362	0
SRR11004363	0
SRR11004364	0
SRR11004365	0
SRR11004366	0
SRR11004367	0
SRR11004368	0
SRR11004369	0
SRR11004370	0
SRR11004371	0
SRR11004372	0
SRR11004373	0
SRR11004374	0
SRR11004375	0
SRR11004376	0
SRR11004377	0
SRR11004378	0
SRR11004379	0
