Sample	Human
55	1
63	1
889	1
937	1
1146	1
1815	1
2262	1
3201	1
3751	1
7108	1
9325	1
9556	1
9777	1
19-01	1
19-02	1
19-03	1
19-04	1
19-05	1
19-06	1
19-07	1
19-08	1
19-09	1
19-10	1
19-11	1
19-12	1
19-13	1
19-14	1
19-15	1
19-16	1
19-17	1
19-18	1
19-19	1
19-20	1
19-21	1
19-23	1
19-24	1
19-25	1
19-26	1
19-28	1
19-29	1
19-32	1
19-33	1
19-35	1
19-36	1
19-38	1
19-40	1
19-42	1
1A	1
20-01	0
20-02	0
20-03	0
20-04	0
20-05	0
20-06	0
20-07	0
22-01	0
22-02	0
22-03	0
22-04	0
22-05	0
22-06	0
22-08	0
396A	0
429A	0
725A_RS6	0
735A	0
758_SSAP	1
AC34	1
AG1	0
ATCC15305	1
B2	1
BC4	0
BWH3	1
C006	1
C007	1
C008	1
C011	1
C012	1
C013	1
C014	1
C015	1
C016	1
C017	1
C018	1
C019	1
C020	1
C021	1
C022	1
C023	1
C024	1
C025	1
C026	1
C027	1
C028	1
C029	1
C030	1
C031	1
C032	1
C033	1
C034	1
C035	1
C037	1
C038	1
C039	1
C040	1
C041	1
C042	1
C043	1
C044	1
C045	1
C046	1
C047	1
C048	1
C050	1
C051	1
C052	1
C053	1
C054	1
C059	1
C064	1
C065	1
C066	1
C067	1
C068	1
C069	1
C070	1
C071	1
C072	1
C073	1
C074	1
C075	1
C076	1
C077	1
C078	1
C079	1
C080	1
C081	1
C083	1
C084	1
C085	1
C086	1
C087	1
C089	1
C092	1
C093	1
C097	1
C099	1
C101	1
C102	1
C103	1
C104	1
C105	1
C106	1
C107	1
C108	1
C109	1
C110	1
C111	1
C112	1
C113	1
C114	1
C115	1
C116	1
C118	1
C119	1
C120	1
C121	1
C122	1
C123	1
C124	1
C125	1
C127	1
C136	1
C201	1
C221-2	1
C229	1
CE6	0
Colony294	0
DE0121	0
DE0148	0
DE0151	0
DE0159	0
DE0270	0
DE0274	0
DE0294	0
DE0375	0
DE0561	0
DE0565	0
DE0567	0
DE0568	0
DE0569	0
DE0575	0
DE0594	0
DPC5671	0
ERR10431371	1
ERR10432294	1
ERR10432305	1
ERR10432413	1
ERR10432446	1
ERR10432572	1
ERR10437034	1
ERR10437731	1
ERR10438810	1
ERR10439023	1
ERR10439024	1
ERR10441444	1
ERR3219573	1
ERR3219813	1
ERR3219814	1
ERR3219906	1
ERR3219910	1
ERR3219911	1
ERR3219913	1
ERR3219914	1
ERR3219916	1
ERR3219921	1
ERR3219922	1
ERR3219923	1
ERR3219927	1
ERR3357297	0
ERR3357298	0
ERR3357301	0
ERR3357323	0
ERR3358313	0
ERR3383522	0
ERR3383523	0
ERR4013741	1
ERR4014870	1
ERR4014873	1
ERR4014875	1
ERR4014883	1
ERR4014983	1
ERR4015000	1
ERR4015080	1
ERR4015318	1
FXH-168	0
GDH8C90P	0
GDH8C97P	0
GDY8P136P	0
GDY8P168P	0
HAF121	1
JB027	1
JBCB14	0
KACC16562	0
LK489	1
NCTC7292	1
NCTC7526	1
NCTC7540	0
NCTC7666	0
NCTC7687	0
NCTC7688	0
NCTC7692	0
REF_Ss_troy_2014-0902	1
s43	0
SDC2	0
SDD2	0
SNUC1141	0
SNUC1435	0
SNUC1928	0
SNUC2042	0
SNUC2120	0
SNUC2373	0
SNUC2834	0
SNUC3102	0
SNUC3312	0
SNUC3824	0
SNUC4138	0
SNUC4826	0
SNUC5300	0
SNUC5359	0
SNUC5479	0
SNUC946	0
SRR10556786	0
SRR10583088	1
SRR10611087	0
SRR11004154	1
SRR11004155	1
SRR11004156	0
SRR11004157	0
SRR11004158	0
SRR11004159	1
SRR11004160	1
SRR11004161	1
SRR11004162	1
SRR11004164	1
SRR11004165	1
SRR11004166	1
SRR11004167	0
SRR11004168	0
SRR11004169	0
SRR11004170	0
SRR11004171	0
SRR11004172	0
SRR11004173	0
SRR11004174	0
SRR11004175	0
SRR11004176	0
SRR11004177	1
SRR11004178	0
SRR11004179	0
SRR11004180	1
SRR11004181	1
SRR11004182	1
SRR11004183	1
SRR11004184	1
SRR11004185	1
SRR11004186	1
SRR11004187	1
SRR11004188	1
SRR11004189	1
SRR11004190	1
SRR11004191	1
SRR11004192	1
SRR11004193	1
SRR11004194	1
SRR11004195	0
SRR11004196	0
SRR11004197	0
SRR11004198	0
SRR11004199	1
SRR11004200	0
SRR11004201	0
SRR11004202	0
SRR11004203	0
SRR11004204	0
SRR11004205	0
SRR11004206	0
SRR11004207	0
SRR11004208	0
SRR11004209	0
SRR11004210	1
SRR11004211	0
SRR11004212	1
SRR11004213	1
SRR11004214	1
SRR11004215	1
SRR11004216	1
SRR11004217	1
SRR11004218	1
SRR11004219	0
SRR11004220	0
SRR11004221	1
SRR11004222	0
SRR11004223	0
SRR11004224	0
SRR11004225	0
SRR11004226	0
SRR11004227	0
SRR11004228	0
SRR11004229	0
SRR11004230	0
SRR11004231	0
SRR11004232	1
SRR11004233	0
SRR11004234	0
SRR11004235	0
SRR11004236	0
SRR11004237	0
SRR11004238	0
SRR11004239	0
SRR11004240	1
SRR11004241	1
SRR11004243	1
SRR11004244	1
SRR11004245	1
SRR11004246	0
SRR11004247	0
SRR11004248	0
SRR11004249	0
SRR11004250	0
SRR11004251	0
SRR11004252	0
SRR11004253	0
SRR11004254	1
SRR11004255	0
SRR11004256	0
SRR11004257	0
SRR11004258	0
SRR11004259	0
SRR11004260	0
SRR11004261	0
SRR11004262	0
SRR11004263	0
SRR11004264	0
SRR11004265	1
SRR11004266	1
SRR11004267	0
SRR11004268	0
SRR11004269	1
SRR11004270	1
SRR11004271	1
SRR11004272	1
SRR11004273	1
SRR11004274	1
SRR11004275	1
SRR11004276	1
SRR11004277	1
SRR11004278	1
SRR11004279	1
SRR11004280	1
SRR11004281	1
SRR11004282	1
SRR11004283	1
SRR11004284	1
SRR11004285	1
SRR11004286	1
SRR11004287	1
SRR11004288	1
SRR11004289	1
SRR11004290	1
SRR11004291	1
SRR11004292	1
SRR11004293	1
SRR11004294	1
SRR11004295	1
SRR11004296	1
SRR11004297	1
SRR11004298	1
SRR11004299	1
SRR11004300	1
SRR11004301	1
SRR11004302	1
SRR11004303	1
SRR11004304	1
SRR11004305	1
SRR11004306	1
SRR11004307	1
SRR11004308	1
SRR11004309	1
SRR11004310	1
SRR11004311	1
SRR11004312	1
SRR11004313	1
SRR11004314	1
SRR11004315	1
SRR11004316	1
SRR11004317	1
SRR11004318	1
SRR11004319	1
SRR11004320	1
SRR11004321	1
SRR11004322	1
SRR11004323	1
SRR11004324	1
SRR11004325	1
SRR11004326	1
SRR11004327	1
SRR11004328	1
SRR11004329	1
SRR11004330	1
SRR11004331	1
SRR11004332	1
SRR11004333	1
SRR11004334	1
SRR11004335	1
SRR11004336	1
SRR11004337	1
SRR11004338	1
SRR11004339	1
SRR11004340	1
SRR11004341	1
SRR11004342	1
SRR11004343	1
SRR11004344	1
SRR11004346	1
SRR11004347	1
SRR11004348	1
SRR11004349	1
SRR11004350	1
SRR11004351	1
SRR11004352	1
SRR11004353	1
SRR11004354	1
SRR11004355	1
SRR11004356	1
SRR11004357	1
SRR11004358	1
SRR11004359	1
SRR11004360	1
SRR11004361	1
SRR11004362	1
SRR11004363	1
SRR11004364	1
SRR11004365	1
SRR11004366	1
SRR11004367	1
SRR11004368	1
SRR11004369	1
SRR11004370	1
SRR11004371	1
SRR11004372	1
SRR11004373	1
SRR11004374	1
SRR11004375	1
SRR11004376	1
SRR11004377	1
SRR11004378	1
SRR11004379	1
SRR11004380	1
SRR11004381	1
SRR11004382	1
SRR11004383	1
SRR11004384	1
SRR11004385	1
SRR11004386	1
SRR11004387	1
SRR11004388	1
SRR11004389	1
SRR11004390	1
SRR11004391	1
SRR11004392	1
SRR11004393	1
SRR11004394	1
SRR11004395	1
SRR11004396	1
SRR11004397	1
SRR11004398	1
SRR11004399	1
SRR11004400	1
SRR11004401	1
SRR11004402	1
SRR11004403	1
SRR11004404	1
SRR11004405	1
SRR11004406	1
SRR11004407	1
SRR11004408	1
SRR11004409	1
SRR11004410	1
SRR11004411	1
SRR11004412	1
SRR11004413	1
SRR11004414	1
SRR11004415	1
SRR11004416	1
SRR11004417	1
SRR11004418	1
SRR11004419	1
SRR11004420	1
SRR11004421	1
SRR11004422	1
SRR11004423	1
SRR11004424	1
SRR11004425	1
SRR11004426	1
SRR11004427	1
SRR11004428	1
SRR11004429	1
SRR11004430	1
SRR11004431	1
SRR11004432	1
SRR11004433	1
SRR11004434	1
SRR11004435	1
SRR11004436	1
SRR11004437	1
SRR11004438	1
SRR11004439	1
SRR11004440	1
SRR11004441	1
SRR11004442	1
SRR11004443	1
SRR11004444	1
SRR11004445	1
SRR11004446	1
SRR11004447	1
SRR11004448	1
SRR11004449	1
SRR11004450	1
SRR11004451	1
SRR11004452	1
SRR11004453	1
SRR11004454	1
SRR11004455	1
SRR11004456	1
SRR11004457	1
SRR11004458	1
SRR11004459	1
SRR11004460	1
SRR11004461	1
SRR11004462	1
SRR11004463	1
SRR11004464	1
SRR11004465	1
SRR11004466	1
SRR11004467	1
SRR11004468	1
SRR11004469	1
SRR11004470	1
SRR11004471	1
SRR11004472	1
SRR11004473	1
SRR11004474	1
SRR11004475	1
SRR11004476	1
SRR11004477	1
SRR11004478	1
SRR11004479	1
SRR11004480	1
SRR11004481	1
SRR11004482	1
SRR11004483	1
SRR11004484	1
SRR11004485	1
SRR11004486	1
SRR11004487	1
SRR11004488	1
SRR11004489	1
SRR11004490	1
SRR11004491	1
SRR11004492	1
SRR11004493	1
SRR11004494	1
SRR11004495	1
SRR11004498	1
SRR11004499	1
SRR11004500	1
SRR11004501	1
SRR11004502	1
SRR11004503	1
SRR11004504	1
SRR11004505	1
SRR11004506	1
SRR11004507	1
SRR11004508	1
SRR11004509	1
SRR11004510	1
SRR11004511	1
SRR11004512	1
SRR11004513	1
SRR11004514	1
SRR11004515	1
SRR11004516	1
SRR11004517	1
SRR11004518	1
SRR11004519	1
SRR11004520	1
SRR11004521	1
SRR11004522	1
SRR11004523	1
SRR11004524	1
SRR11004525	1
SRR11004526	1
SRR11004527	1
SRR11004528	1
SRR11004529	1
SRR11004530	1
SRR11004531	1
SRR11004532	1
SRR11004533	1
SRR11004534	1
SRR11004535	1
SRR11004536	1
SRR11004537	1
SRR11004538	1
SRR11004539	1
SRR11004540	1
SRR11004541	1
SRR11004542	1
SRR11004543	1
SRR11004544	1
SRR11004545	1
SRR11004546	1
SRR11004547	1
SRR11004548	1
SRR11004549	1
SRR11004550	1
SRR11004551	1
SRR11004552	1
SRR11004553	1
SRR11004554	0
SRR11004555	0
SRR11004556	0
SRR12056053	1
SRR12056163	1
SRR12056166	1
SRR12056174	1
SRR12056308	1
SRR12056311	1
SRR12693181	0
SRR12693190	0
SRR12693196	0
SRR12693206	0
SRR12693217	0
SRR12693218	0
SRR12693219	0
SRR12693220	0
SRR12693222	0
SRR12693260	0
SRR12693265	0
SRR12693267	0
SRR12693268	0
SRR12693269	0
SRR12693270	0
SRR12693271	0
SRR12693272	0
SRR12693273	0
SRR12693289	0
SRR12693290	0
SRR12762903	0
SRR13530715	0
SRR13530737	0
SRR13530759	0
SRR13530763	0
SRR13530783	0
SRR13530784	0
SRR13530785	0
SRR13530792	0
SRR13674887	0
SRR13674888	0
SRR13674889	0
SRR13674890	0
SRR13674891	0
SRR14491919	0
SRR14571941	0
SRR16631590	0
SRR16631687	0
SRR19995384	0
SRR19995404	0
SRR19995405	0
SRR19995406	0
SRR19995407	0
SRR19995408	0
SRR19995409	0
SRR19995411	0
SRR19995412	0
SRR19995413	0
SRR19995414	0
SRR19995415	0
SRR19995416	0
SRR19995417	0
SRR19995418	0
SRR19995420	0
SRR19995422	0
SRR20027742	1
SRR20313630	0
SRR20693367	0
SRR21745898	1
SRR21745902	1
SRR2820294	1
SRR2822469	1
SRR3057117	1
SRR3151882	0
SRR3151883	0
SRR4938467	1
SRR4938469	1
SRR4938470	0
SRR4938471	1
SRR4938472	1
SRR4938473	1
SRR4938474	0
SRR4938475	1
SRR4938476	1
SRR4938477	1
SRR4938478	1
SRR5029746	0
SRR5029764	1
SRR5419951	1
SRR5440743	1
SRR6265703	0
SRR6265704	1
SRR6265705	1
SRR6265707	1
SRR6265708	0
SRR6265709	1
SRR7771798	1
SRR9647826	0
SRR9647862	0
SRR9647876	0
SS116	1
SS410	1
SS413	1
SS45	1
SS536	1
SS543	1
SS546	1
SU8	0
SW396	0
ww2	0
ww3	0
