StrainIndex  Lineage  Cluster  Name
1            1        2        1146
2            2        3        1815
3            2        3        19-01
4            2        4        19-02
5            2        4        19-03
6            2        3        19-04
7            2        3        19-05
8            2        4        19-06
9            2        3        19-07
10           2        3        19-08
11           2        3        19-09
12           2        4        19-10
13           2        4        19-11
14           2        4        19-12
15           2        4        19-13
16           2        4        19-14
17           2        4        19-15
18           2        3        19-16
19           2        4        19-17
20           2        3        19-18
21           2        3        19-19
22           2        3        19-20
23           2        4        19-21
24           2        4        19-23
25           2        3        19-24
26           2        4        19-25
27           2        3        19-26
28           2        4        19-28
29           2        3        19-29
30           2        4        19-32
31           2        4        19-33
32           1        2        19-35
33           2        3        19-36
34           2        3        19-38
35           2        3        19-40
36           2        3        19-42
37           1        2        1A
38           2        4        20-01
39           2        4        20-02
40           2        4        20-03
41           2        3        20-04
42           2        4        20-05
43           2        4        20-06
44           2        3        20-07
45           2        4        22-01
46           2        4        22-02
47           2        4        22-03
48           2        4        22-04
49           2        3        22-05
50           2        4        22-06
51           2        4        22-08
52           2        3        2262
53           1        2        3201
54           1        2        3751
55           2        4        396A
56           2        4        429A
57           1        2        55
58           2        3        63
59           2        3        7108
60           2        3        725A_RS6
61           2        4        735A
62           2        4        758_SSAP
63           2        3        889
64           2        3        9325
65           2        3        937
66           2        4        9556
67           2        4        9777
68           2        4        AC34
69           2        4        AG1
70           2        3        ATCC15305
71           2        4        B2
72           2        4        BC4
73           2        3        BWH3
74           2        3        C006
75           2        4        C007
76           2        3        C008
77           2        4        C011
78           2        3        C012
79           2        4        C013
80           2        3        C014
81           2        3        C015
82           2        4        C016
83           2        3        C017
84           2        4        C018
85           2        4        C019
86           2        4        C020
87           2        3        C021
88           2        3        C022
89           2        3        C023
90           2        4        C024
91           2        3        C025
92           2        3        C026
93           2        4        C027
94           2        3        C028
95           2        4        C029
96           2        3        C030
97           2        3        C031
98           2        3        C032
99           2        4        C033
100          2        3        C034
101          2        3        C035
102          2        4        C037
103          2        4        C038
104          2        3        C039
105          2        4        C040
106          2        3        C041
107          1        2        C042
108          2        4        C043
109          2        3        C044
110          2        3        C045
111          2        3        C046
112          2        4        C047
113          2        3        C048
114          2        3        C050
115          2        3        C051
116          2        4        C052
117          2        3        C053
118          2        3        C054
119          2        4        C059
120          2        3        C064
121          2        4        C065
122          2        3        C066
123          1        2        C067
124          2        3        C068
125          2        4        C069
126          2        4        C070
127          2        3        C071
128          2        4        C072
129          2        4        C073
130          2        3        C074
131          2        3        C075
132          2        4        C076
133          2        3        C077
134          2        3        C078
135          2        4        C079
136          2        3        C080
137          2        4        C081
138          2        4        C083
139          2        3        C084
140          1        2        C085
141          2        3        C086
142          2        4        C087
143          2        4        C089
144          2        3        C092
145          2        4        C093
146          2        4        C097
147          2        3        C099
148          2        4        C101
149          2        3        C102
150          2        4        C103
151          2        3        C104
152          2        4        C105
153          2        3        C106
154          2        3        C107
155          2        3        C108
156          2        4        C109
157          2        4        C110
158          2        4        C111
159          2        4        C112
160          2        3        C113
161          2        3        C114
162          2        4        C115
163          2        4        C116
164          2        3        C118
165          2        3        C119
166          2        4        C120
167          2        3        C121
168          2        3        C122
169          2        4        C123
170          2        4        C124
171          2        4        C125
172          2        3        C127
173          2        3        C136
174          2        3        C201
175          2        3        C221-2
176          2        3        C229
177          2        4        CE6
178          2        4        Colony294
179          2        3        DE0121
180          2        3        DE0148
181          2        3        DE0151
182          2        3        DE0159
183          2        3        DE0270
184          2        3        DE0274
185          2        4        DE0294
186          2        3        DE0375
187          2        3        DE0561
188          2        3        DE0565
189          2        3        DE0567
190          2        3        DE0568
191          2        3        DE0569
192          2        3        DE0575
193          2        4        DE0594
194          2        4        DPC5671
195          1        2        ERR10431371
196          1        2        ERR10432294
197          1        2        ERR10432305
198          2        4        ERR10432413
199          1        2        ERR10432446
200          1        2        ERR10432572
201          2        4        ERR10437034
202          2        4        ERR10437731
203          2        4        ERR10438810
204          1        2        ERR10439023
205          1        2        ERR10439024
206          2        4        ERR10441444
207          2        4        ERR3219573
208          2        3        ERR3219813
209          2        3        ERR3219814
210          2        4        ERR3219906
211          2        4        ERR3219910
212          2        3        ERR3219911
213          2        4        ERR3219913
214          2        3        ERR3219914
215          2        3        ERR3219916
216          2        3        ERR3219921
217          2        3        ERR3219922
218          2        3        ERR3219923
219          2        4        ERR3219927
220          2        3        ERR3357297
221          2        4        ERR3357298
222          2        4        ERR3357301
223          2        3        ERR3357323
224          2        4        ERR3358313
225          2        4        ERR3383522
226          2        4        ERR3383523
227          2        4        ERR4013741
228          1        2        ERR4014870
229          2        4        ERR4014873
230          2        4        ERR4014875
231          2        4        ERR4014883
232          2        4        ERR4014983
233          2        3        ERR4015000
234          2        3        ERR4015080
235          2        3        ERR4015318
236          1        2        FXH-168
237          1        2        GDH8C90P
238          1        2        GDH8C97P
239          1        2        GDY8P136P
240          1        2        GDY8P168P
241          2        4        HAF121
242          2        3        JB027
243          2        4        JBCB14
244          1        2        KACC16562
245          2        3        LK489
246          2        3        NCTC7292
247          1        2        NCTC7526
248          1        2        NCTC7540
249          1        2        NCTC7666
250          1        2        NCTC7687
251          1        2        NCTC7688
252          1        2        NCTC7692
253          2        4        REF_Ss_troy_2014-0902
254          2        4        SDC2
255          2        3        SDD2
256          2        4        SNUC1141
257          2        4        SNUC1435
258          2        4        SNUC1928
259          2        4        SNUC2042
260          2        4        SNUC2120
261          2        4        SNUC2373
262          2        4        SNUC2834
263          2        4        SNUC3102
264          2        4        SNUC3312
265          2        4        SNUC3824
266          2        4        SNUC4138
267          2        4        SNUC4826
268          2        4        SNUC5300
269          2        4        SNUC5359
270          2        4        SNUC5479
271          2        4        SNUC946
272          1        2        SRR10556786
273          1        2        SRR10583088
274          2        4        SRR10611087
275          2        4        SRR11004154
276          2        3        SRR11004155
277          2        3        SRR11004156
278          2        3        SRR11004157
279          2        4        SRR11004158
280          1        2        SRR11004159
281          2        4        SRR11004160
282          2        4        SRR11004161
283          2        4        SRR11004162
284          2        3        SRR11004164
285          2        4        SRR11004165
286          2        4        SRR11004166
287          2        4        SRR11004167
288          2        4        SRR11004168
289          2        4        SRR11004169
290          2        4        SRR11004170
291          2        3        SRR11004171
292          2        3        SRR11004172
293          2        3        SRR11004173
294          2        3        SRR11004174
295          2        4        SRR11004175
296          2        3        SRR11004176
297          2        3        SRR11004177
298          2        3        SRR11004178
299          2        3        SRR11004179
300          2        4        SRR11004180
301          2        4        SRR11004181
302          2        3        SRR11004182
303          2        4        SRR11004183
304          2        3        SRR11004184
305          2        3        SRR11004185
306          2        3        SRR11004186
307          2        3        SRR11004187
308          2        3        SRR11004188
309          2        4        SRR11004189
310          1        2        SRR11004190
311          2        4        SRR11004191
312          2        3        SRR11004192
313          2        4        SRR11004193
314          2        3        SRR11004194
315          2        4        SRR11004195
316          2        3        SRR11004196
317          2        4        SRR11004197
318          2        3        SRR11004198
319          2        4        SRR11004199
320          2        3        SRR11004200
321          2        3        SRR11004201
322          2        3        SRR11004202
323          2        3        SRR11004203
324          2        3        SRR11004204
325          2        3        SRR11004205
326          2        3        SRR11004206
327          2        4        SRR11004207
328          2        3        SRR11004208
329          2        3        SRR11004209
330          2        3        SRR11004210
331          2        3        SRR11004211
332          2        3        SRR11004212
333          1        2        SRR11004213
334          1        2        SRR11004214
335          1        2        SRR11004215
336          1        2        SRR11004216
337          2        4        SRR11004217
338          2        4        SRR11004218
339          2        3        SRR11004219
340          2        3        SRR11004220
341          2        3        SRR11004221
342          2        3        SRR11004222
343          2        4        SRR11004223
344          2        3        SRR11004224
345          2        4        SRR11004225
346          2        4        SRR11004226
347          2        3        SRR11004227
348          2        3        SRR11004228
349          2        3        SRR11004229
350          2        4        SRR11004230
351          2        3        SRR11004231
352          2        4        SRR11004232
353          1        2        SRR11004233
354          2        3        SRR11004234
355          2        3        SRR11004235
356          2        3        SRR11004236
357          2        3        SRR11004237
358          2        3        SRR11004238
359          2        4        SRR11004239
360          2        3        SRR11004240
361          2        4        SRR11004241
362          2        3        SRR11004243
363          2        4        SRR11004244
364          2        4        SRR11004245
365          2        3        SRR11004246
366          2        3        SRR11004247
367          2        3        SRR11004248
368          2        3        SRR11004249
369          2        3        SRR11004250
370          2        3        SRR11004251
371          2        3        SRR11004252
372          2        3        SRR11004253
373          2        3        SRR11004254
374          1        2        SRR11004255
375          2        4        SRR11004256
376          2        3        SRR11004257
377          2        4        SRR11004258
378          2        3        SRR11004259
379          2        3        SRR11004260
380          1        1        SRR11004261
381          2        4        SRR11004262
382          2        3        SRR11004263
383          2        3        SRR11004264
384          2        4        SRR11004265
385          2        4        SRR11004266
386          2        3        SRR11004267
387          2        3        SRR11004268
388          2        4        SRR11004269
389          1        2        SRR11004270
390          2        4        SRR11004271
391          1        2        SRR11004272
392          1        2        SRR11004273
393          1        2        SRR11004274
394          1        2        SRR11004275
395          2        3        SRR11004276
396          2        3        SRR11004277
397          1        2        SRR11004278
398          2        4        SRR11004279
399          1        2        SRR11004280
400          2        4        SRR11004281
401          2        4        SRR11004282
402          1        2        SRR11004283
