Strain	NumFrags
SRR11004215	0
SRR11004214	0
SRR11004317	0
SRR11004402	0
SRR11004437	38
C042	10
SRR11004374	21
SRR11004295	5
SRR11004491	22
SRR11004339	0
SRR11004375	0
SRR11004419	0
SRR11004449	0
SRR11004457	0
SRR11004433	13
1A	16
SRR11004290	6
3751	23
SRR11004336	4
SS543	13
ERR10432305	26
SRR11004369	27
SRR11004444	7
SRR11004216	0
SRR11004213	0
SRR11004431	19
SRR11004462	0
SRR11004429	0
SRR11004389	0
SRR11004344	4
SRR11004463	0
SRR11004452	0
SRR11004453	0
SRR11004414	0
SRR11004400	106
SRR11004335	0
SRR11004440	19
SRR13674891	0
SRR13674890	0
SRR13674887	0
SRR13674888	18
SRR11004341	16
SRR11004342	23
SRR11004364	12
SRR11004159	0
SRR10583088	1
SRR11004446	0
SRR11004469	0
SRR11004447	0
SRR11004356	0
SRR11004370	1
SRR21745898	25
ERR10432446	20
C067	0
C085	1
SRR11004302	4
SRR11004445	12
SRR11004308	11
SS116	26
SRR11004346	34
SRR11004283	49
SRR11004490	5
SRR11004274	39
SRR11004337	20
55	7
ERR10432572	18
SRR11004407	9
GDY8P136P	0
GDY8P168P	0
GDH8C97P	8
GDH8C90P	18
SU8	25
3201	19
SRR11004393	8
SRR11004353	50
SRR11004442	0
SRR11004360	1
SRR11004439	0
SRR11004425	0
SRR11004540	15
SRR10556786	31
SS413	30
SS536	15
SRR11004319	13
ERR4014870	35
SRR11004468	33
SRR11004285	17
SRR11004292	0
SRR11004270	0
SRR11004278	21
SRR11004450	0
SRR11004456	0
SRR11004371	0
SRR11004430	0
SRR11004418	0
SRR11004380	0
SRR11004378	0
SRR11004461	0
SRR11004357	0
SRR11004307	0
SRR11004363	0
SRR11004455	0
SRR11004333	0
SRR11004355	0
SRR11004366	0
SRR11004275	18
19-35	8
SRR11004289	23
ERR10439023	15
ERR10432294	18
SRR11004273	17
ERR10431371	0
SRR11004280	1
SRR11004296	0
SRR11004310	0
SRR11004531	2
SRR11004408	26
ERR10439024	16
SRR11004351	51
SRR11004272	10
SRR12056053	90
1146	44
NCTC7688	13
NCTC7526	15
NCTC7692	8
NCTC7666	14
NCTC7687	18
SRR11004190	0
SRR11004255	1
SRR11004233	0
NCTC7540	5
FXH-168	3
KACC16562	12
SRR11004494	90
