Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
13741     15676     2               1                8.0        1146
486802    487271    2               1                4.1        1146
487272    487308    3               1                0.6        1146
487309    487608    2               1                12.9       1146
225221    225350    1               2                4.4        1815
225469    225544    1               2                3.6        1815
484513    485352    1               2                0.1        1815
478429    478711    3               4                3.5        19-02
71639     71766     3               10               4.5        19-08
145795    145898    3               10               0.0        19-08
207252    208776    1               10               2.7        19-08
241498    242585    1               10               7.5        19-08
286697    286752    3               10               7.9        19-08
335785    335831    1               10               1.2        19-08
378817    378875    3               10               0.4        19-08
431088    431114    1               10               20.6       19-08
431115    431143    3               10               5.9        19-08
448388    448528    3               10               0.3        19-08
560264    560505    3               10               1.7        19-08
769549    770001    3               10               4.5        19-08
484513    485352    1               19               0.1        19-17
923837    924852    1               19               1.4        19-17
478429    478711    3               24               3.5        19-23
923837    924852    1               24               1.4        19-23
225221    225350    1               25               4.4        19-24
225469    225544    1               25               3.6        19-24
484513    485352    1               25               0.1        19-24
101967    102298    3               26               10.1       19-25
30519     31765     2               32               4.4        19-35
237762    238194    2               32               3.3        19-35
486802    487271    2               32               4.1        19-35
487272    487308    3               32               0.6        19-35
487309    487608    2               32               12.9       19-35
694373    694847    2               32               9.0        19-35
713094    727523    2               32               5.2        19-35
885567    885712    3               32               4.1        19-35
918040    920511    2               32               13.4       19-35
486802    487271    2               37               4.2        1A
487272    487308    3               37               0.6        1A
487309    487608    2               37               10.8       1A
478429    478711    3               45               3.5        22-01
478429    478711    3               46               3.5        22-02
13741     14164     3               49               0.1        22-05
14165     14283     1               49               3.0        22-05
62671     64121     1               49               4.7        22-05
71639     71766     3               49               4.5        22-05
219754    220022    3               49               3.9        22-05
241758    242585    1               49               3.0        22-05
247243    247292    3               49               1.0        22-05
305492    305522    3               49               23.1       22-05
333201    333216    1               49               2.1        22-05
333217    333224    3               49               4.1        22-05
335771    335831    1               49               2.4        22-05
478429    478711    3               49               3.4        22-05
560152    560572    3               49               2.5        22-05
716606    716657    3               49               0.8        22-05
769549    770001    3               49               4.5        22-05
897650    897843    1               49               8.9        22-05
478429    478711    3               51               3.5        22-08
225221    225350    1               52               4.4        2262
225469    225544    1               52               3.6        2262
484513    485352    1               52               0.1        2262
225207    226294    2               54               10.6       3751
284076    284675    2               54               7.7        3751
427645    429098    2               54               4.4        3751
434764    435232    2               54               2.6        3751
694819    695034    2               54               3.5        3751
905265    906647    2               54               20.2       3751
937389    937731    2               54               5.4        3751
101967    102298    3               55               10.0       396A
478429    478711    3               55               3.5        396A
560455    560505    3               56               0.9        429A
768481    768693    3               57               5.7        55
225221    225350    1               58               4.4        63
225469    225544    1               58               3.6        63
484513    485352    1               58               0.1        63
750159    750699    1               59               0.3        7108
13741     14164     3               60               0.1        725A_RS6
14165     14283     1               60               3.0        725A_RS6
62671     64121     1               60               4.7        725A_RS6
71639     71766     3               60               4.5        725A_RS6
219767    220350    1               60               2.9        725A_RS6
300464    301333    1               60               0.4        725A_RS6
305492    305522    3               60               23.1       725A_RS6
308530    308632    3               60               0.1        725A_RS6
333201    333216    1               60               2.1        725A_RS6
333217    333224    3               60               4.1        725A_RS6
335771    335831    1               60               2.4        725A_RS6
478429    478711    3               60               3.4        725A_RS6
560152    560572    3               60               2.6        725A_RS6
716606    716657    3               60               0.8        725A_RS6
769549    770001    3               60               4.5        725A_RS6
897674    897815    1               60               7.8        725A_RS6
484513    485352    1               61               0.1        735A
923837    924852    1               61               1.4        735A
484513    485352    1               62               0.1        758_SSAP
923837    924852    1               62               1.4        758_SSAP
225221    225350    1               64               4.4        9325
225469    225544    1               64               3.6        9325
484513    485352    1               64               0.1        9325
484513    485352    1               67               0.1        9777
923837    924852    1               67               1.4        9777
225207    225366    1               70               6.8        ATCC15305
225367    225463    3               70               2.2        ATCC15305
225464    225544    1               70               3.2        ATCC15305
484513    485352    1               70               0.1        ATCC15305
613870    614275    1               70               3.0        ATCC15305
750159    750699    1               70               0.3        ATCC15305
484513    485352    1               72               0.1        BC4
923837    924852    1               72               1.4        BC4
750159    750699    1               74               0.4        C006
484513    485352    1               77               0.1        C011
923837    924852    1               77               1.4        C011
225221    225350    1               78               4.4        C012
225469    225544    1               78               3.6        C012
484513    485352    1               78               0.1        C012
560455    560505    3               85               0.9        C019
484513    485352    1               90               0.1        C024
923837    924852    1               90               1.4        C024
225221    225350    1               91               4.4        C025
225469    225544    1               91               3.6        C025
484513    485352    1               91               0.1        C025
225221    225350    1               92               4.4        C026
225469    225544    1               92               3.6        C026
484513    485352    1               92               0.1        C026
484513    485352    1               105              0.1        C040
923837    924852    1               105              1.4        C040
750159    750699    1               106              0.4        C041
905367    905661    3               106              3.2        C041
484513    485352    1               108              0.1        C043
923837    924852    1               108              1.4        C043
750159    750699    1               109              0.4        C044
905367    905661    3               109              3.2        C044
613870    614275    1               110              3.0        C045
750159    750699    1               110              1.5        C045
225221    225347    1               111              2.6        C046
225348    225490    3               111              3.8        C046
225491    225544    1               111              0.7        C046
484513    485352    1               111              0.1        C046
613870    614275    1               114              3.0        C050
750159    750699    1               114              0.4        C050
484513    485352    1               116              0.1        C052
923837    924852    1               116              1.4        C052
750159    750699    1               118              0.4        C054
905367    905661    3               118              3.2        C054
478429    478711    3               119              3.5        C059
283782    283851    3               120              11.8       C064
484513    485352    1               121              0.1        C065
923837    924852    1               121              1.4        C065
225221    225350    1               122              4.4        C066
225469    225544    1               122              3.6        C066
484513    485352    1               122              0.1        C066
484513    485352    1               128              0.1        C072
923837    924852    1               128              1.4        C072
484513    485352    1               129              0.1        C073
923837    924852    1               129              1.4        C073
770370    770407    3               130              4.6        C074
225221    225350    1               131              4.4        C075
225469    225544    1               131              3.6        C075
437847    438076    3               131              3.7        C075
484513    485352    1               131              0.1        C075
225221    225350    1               136              4.4        C080
225469    225544    1               136              3.6        C080
484513    485352    1               136              0.1        C080
484513    485352    1               146              0.1        C097
923837    924852    1               146              1.4        C097
484513    485352    1               153              0.1        C106
750159    750699    1               153              0.3        C106
484513    485352    1               156              0.1        C109
923837    924852    1               156              1.4        C109
484513    485352    1               164              0.1        C118
750159    750699    1               164              0.3        C118
478429    478711    3               169              3.5        C123
484513    485352    1               171              0.1        C125
923837    924852    1               171              1.4        C125
613870    614275    1               172              3.0        C127
750159    750699    1               172              0.4        C127
484513    485352    1               173              0.1        C136
484513    485352    1               177              0.1        CE6
923837    924852    1               177              1.4        CE6
750159    750699    1               179              0.4        DE0121
905367    905661    3               179              3.2        DE0121
225221    225350    1               180              4.4        DE0148
225469    225544    1               180              3.6        DE0148
484513    485352    1               180              0.1        DE0148
225221    225350    1               182              4.4        DE0159
225469    225544    1               182              3.6        DE0159
484513    485352    1               182              0.1        DE0159
484513    485352    1               183              0.1        DE0270
613870    614275    1               189              3.0        DE0567
750159    750699    1               189              1.5        DE0567
613870    614275    1               192              3.0        DE0575
750159    750699    1               192              1.5        DE0575
478429    478711    3               194              3.5        DPC5671
30519     31765     2               195              4.4        ERR10431371
886883    887487    2               195              1.7        ERR10431371
932827    933126    2               195              4.7        ERR10431371
30519     31765     2               196              4.4        ERR10432294
713094    727523    2               196              5.1        ERR10432294
918198    918698    2               196              2.0        ERR10432294
225207    226294    2               197              10.7       ERR10432305
434764    435232    2               197              2.6        ERR10432305
694819    695034    2               197              3.6        ERR10432305
