Node	Beg	End
19-01	294312	295674
19-03	142995	143001
19-06	131029	132137
19-06	1317250	1317340
19-06	1849607	1850358
19-06	1945904	1946216
19-06	2321373	2322954
19-08	449702	450196
19-08	1188382	1188425
19-08	2259228	2261113
19-16	2283206	2283242
19-18	295065	295446
19-18	1579929	1580297
19-18	1911464	1911761
19-25	246027	246880
22-03	294312	295350
22-03	1215158	1216788
22-03	1238357	1238657
22-03	1596289	1597886
22-03	2212499	2212898
22-05	1916665	1916702
396A	1660394	1660557
396A	1716312	1716988
396A	2115680	2116337
396A	2154897	2155246
429A	100903	103322
429A	449807	450196
429A	1145808	1146435
429A	1609520	1610042
429A	1765968	1767990
889	1823365	1823375
C006	1261039	1261312
C006	1870599	1871850
C013	1082081	1082211
C019	441353	441740
C019	1216449	1216983
C019	1238231	1238657
C019	1865983	1867180
C032	70781	71282
C032	294312	295674
C032	977932	980055
C032	1225872	1227040
C032	1238231	1238585
C038	449807	450196
C038	996166	997063
C038	1304021	1304229
C038	1503123	1503408
C038	1702814	1703864
C038	2251894	2252520
C047	99363	99780
C047	244901	246880
C047	281063	282239
C047	493834	494633
C047	637496	637757
C047	660000	660392
C047	875809	876112
C047	891730	892387
C047	1214934	1215194
C047	1294502	1300631
C047	1317250	1317340
C047	2155095	2155319
C047	2231436	2234436
C047	2256772	2263034
C064	361539	361587
C071	993496	993499
C074	1283016	1283020
C074	1973975	1973987
C075	410264	410462
C078	124852	124982
C081	262355	262569
C081	294312	295674
C081	1238180	1238426
C081	1916537	1919920
C087	99363	99835
C087	131086	132137
C087	732508	734562
C087	1056023	1057506
C087	1303844	1304099
C087	1533155	1534460
C087	1694633	1695738
C087	1702688	1703285
C087	1880192	1880803
C087	2321694	2322954
C087	2384000	2384569
C123	641693	641730
C136	1003125	1003684
C136	1238042	1238585
C201	2304567	2304576
Colony294	450079	450196
Colony294	1274568	1274879
DE0121	2392899	2393277
DPC5671	1145955	1146600
DPC5671	1366894	1368481
DPC5671	1765968	1766408
ERR3219573	158426	160358
ERR3219813	697678	697683
ERR3219813	1595872	1596260
ERR3219813	2069407	2070221
ERR3219910	1434252	1434493
ERR3219910	1528434	1528649
ERR3219916	1039934	1043438
ERR3219916	1870599	1873150
ERR3219916	1911464	1911761
ERR3357297	494381	494473
ERR3357297	1567175	1567262
ERR3357323	349142	349193
ERR3357323	2107496	2107499
ERR3383522	319888	319894
ERR3383522	2251901	2251954
ERR3383523	1969760	1970189
ERR4014883	2392771	2393277
